;Jim_Thomas;Eleftherios_Koutsofios;Lawrence_A._Rowe;Jonathan_I._Helfman;Mary_Brewster;Min_Chen;Christopher_G._Healey;Mac_Holden;M._Gray;Jason_Stewart;Volker_Vogelmann;Benjamin_B._Bederson;Maureen_Tingley;C._K._Yung;S._Joy_Mountford;L._D._Bergman;Rich_Gossweiler;M._Maruyama;Peter_R._Keller;David_P._Helmbold;C._Dunmire;C._C._Gomberg;Allison_Woodruff;Karlis_Kaugars;Jeffrey_Brainerd;Claudia_Schmid;Ken_Perrine;Ishantha_Lokuge;M._Weiser;Kevin_Teixeira;Fran̤ois_Robillard;Gordon_V._Bancroft;C._Shaw;Issei_Fujishiro;Ron_Davidson;Diane_T._Rover;Quang_Vinh_Nguyen;Praveen_R._Thiagarajan;Stephen_G._Kobourov;Christian_Panse;Chris_Hendrickson_Octavia_Juarez_Espinosa;N._D._Geddes;Klaus_Mueller;Hans_Hinterberger;R._Brath;King-Ip_Lin;Christian_Uhrig;Haim_Levkowitz;Mybrid_Spalding
Jim_Thomas;2;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eleftherios_Koutsofios;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Lawrence_A._Rowe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jonathan_I._Helfman;0;0;0;0;0;0;0;0;0;2;0;10;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mary_Brewster;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Min_Chen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Christopher_G._Healey;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mac_Holden;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M._Gray;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jason_Stewart;0;0;0;2;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
